time,x,y
1.010100005054458e6,0.844,1.17
1.0102000028756585e6,0.786,1.12
1.0103000005215923e6,0.78,1.098
1.0104000057282423e6,0.73,1.05
1.0105000015950045e6,0.704,0.882
1.0106000029422151e6,0.67,0.906
1.0107000019608956e6,0.646,0.946
1.0108000006229318e6,0.742,1.08
1.010900001515538e6,0.698,0.828
1.0110000018418314e6,0.76,1.03
1.0111000028027314e6,0.86,1.19
1.0112000002179636e6,0.856,1.226
1.0113000002992692e6,0.66,0.944
1.0114000020959685e6,0.722,0.868
1.0115000004414064e6,0.964,1.224
1.011600005191852e6,0.688,1.444
1.0117000008048557e6,0.832,1.072
1.0118000083210684e6,0.74,0.954
1.0119000002626071e6,0.77,0.868
1.0120000002217413e6,0.808,1.348
1.0121000021632665e6,0.776,1.214
1.0122000001487244e6,0.894,1.034
1.0123000012324139e6,0.72,1.142
1.0124000004576874e6,0.762,1.282
1.0125000009758298e6,0.686,1.002
1.0126000007434146e6,0.77,1.122
1.0127000004625274e6,0.778,1.014
1.0128000001832346e6,0.746,1.076
1.0129000000173997e6,0.724,1.22
1.0130000047402935e6,0.792,1.07
1.0131000024835602e6,0.67,0.994
1.0132000024399715e6,0.738,0.99
1.0133000006693872e6,0.716,1.12
1.0134000002572812e6,0.736,0.986
1.01350000227734e6,0.768,1.23
1.0136000018923728e6,0.802,1.144
1.0137000051704983e6,0.644,1.266
1.0138000006658328e6,0.66,1.108
1.0139000001059719e6,0.762,1.178
1.0140000013223952e6,0.69,1.022
1.0141000010545845e6,0.746,1.064
1.0142000008139387e6,0.812,1.174
1.0143000004476825e6,0.776,1.142
1.014400000116227e6,0.816,1.092
1.0145000009858296e6,0.646,1.026
1.0146000002608744e6,0.802,1.15
1.014700000408176e6,0.686,0.95
1.014800000936865e6,0.768,1.058
1.0149000019841862e6,0.636,1.054
1.0150000003352014e6,0.66,1.036
1.0151000007835795e6,0.732,0.978
1.0152000014533579e6,0.708,0.944
1.0153000017331202e6,0.842,1.19
1.0154000000710817e6,0.794,1.214
1.0155000006863177e6,0.788,1.204
1.0156000008656279e6,0.738,0.908
1.015700004654133e6,0.804,1.08
1.0158000027880428e6,0.878,1.102
1.0159000172173205e6,0.624,0.918
1.0160000168892676e6,0.734,1.01
1.0161000006443152e6,0.892,1.24
1.0162000008309477e6,0.752,1.09
1.0163000058575571e6,0.744,1.084
1.0164000019177297e6,0.752,1.086
1.0165000006113729e6,0.75,0.958
1.0166000014029708e6,0.746,1.028
1.0167000015575613e6,0.724,1.162
1.0168000012748241e6,0.816,1.078
1.0169000049268001e6,0.8,0.982
1.017000000382966e6,0.682,0.94
1.017100001612722e6,0.782,1.056
1.0172000030377978e6,0.756,1.31
1.0173000058999407e6,0.69,1.054
1.0174000002923928e6,0.702,0.948
1.017500002797763e6,0.684,1.158
1.0176000032092588e6,0.75,1.182
1.0177000015215526e6,0.65,0.96
1.0178000000516237e6,0.702,0.88
1.01790000032911e6,0.79,1.044
1.018000001116847e6,0.726,0.934
1.0181000001371207e6,0.878,1.08
1.0182000010824669e6,0.698,0.868
1.0183000002335461e6,0.92,0.946
1.0184000024375531e6,0.664,0.922
1.0185000052909326e6,0.678,1.022
1.0186000063900006e6,0.67,0.766
1.0187000010442584e6,0.724,0.938
1.0188000036245101e6,0.7,1.008
1.0189000002862808e6,0.828,1.016
1.0190000007552842e6,0.664,0.844
1.0191000007987259e6,0.69,1.048
1.0192000012238027e6,0.746,1.022
1.0193000013166285e6,0.854,1.096
1.0194000037556174e6,0.7,0.98
1.0195000036039165e6,0.834,1.024
1.0196000001752854e6,0.74,0.94
1.0197000070132558e6,0.76,1.036
1.0198000033161043e6,0.726,1.078
1.0199000059721838e6,0.748,1.092
1.0200000000585996e6,0.624,1.054
1.0201000005205474e6,0.876,1.148
1.0202000008608558e6,0.754,1.008
1.0203000008527922e6,0.678,1.052
1.0204000005744182e6,0.744,1.05
1.0205000050002291e6,0.864,1.064
1.020600002660136e6,0.856,1.126
1.0207000014863749e6,0.78,1.072
1.0208000013460455e6,0.794,1.086
1.0209000027481482e6,0.792,1.066
1.0210000022939275e6,0.834,0.902
1.0211000029842427e6,0.72,0.982
1.021200000236199e6,0.742,0.994
1.0213000013854022e6,0.748,1.13
1.021400001018578e6,0.652,0.784
1.0215000038893574e6,0.792,1.062
1.0216000038613424e6,0.732,0.984
1.0217000018144045e6,0.83,1.118
1.0218000036817722e6,0.756,1.108
1.0219000033796916e6,0.87,1.204
1.022000000595768e6,0.718,1.234
1.0221000062298011e6,0.684,1.294
1.0222000019771127e6,0.82,1.37
1.0223000008292552e6,0.712,1.034
1.0224000017863637e6,0.822,0.972
1.0225000001709904e6,0.794,1.208
1.0226000000273415e6,0.682,0.908
1.0227000017284753e6,0.71,0.982
1.0228000010809121e6,0.782,1.206
1.0229000003092673e6,0.688,1.05
1.0230000043011152e6,0.802,1.058
1.0231000013183329e6,0.716,0.946
1.0232000019391209e6,0.822,0.988
1.0233000056868383e6,0.86,0.996
1.0234000059122853e6,0.794,1.062
1.0235000012723401e6,0.866,1.254
1.0236000006989435e6,0.572,0.966
1.0237000007961668e6,0.882,1.386
1.0238000001209489e6,0.746,1.16
1.0239000045864123e6,0.778,0.87
1.0240000046500238e6,0.588,1.014
1.0241000007645268e6,0.752,1.088
1.0242000000259985e6,0.738,0.944
